,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,HLS,B2,Renewal,Europe,N/A,Pending,2015-04-01,0000-00-00,1414,detail
1,wcj999,B2,New,ShangHai,biochemistry,Clear,2015-04-01,2015-04-29,28,detail
2,AA004V1F12,B2,New,GuangZhou,N/A,Pending,2015-04-01,0000-00-00,1414,detail
3,E42128297,B2,New,GuangZhou,N/A,Pending,2015-04-01,0000-00-00,1414,detail
4,lty1990,F1,Renewal,ShangHai,N/A,Pending,2015-04-01,0000-00-00,1414,detail
5,AA004UK37C,B1,Renewal,Others,N/A,Clear,2015-04-02,2015-05-27,55,detail
6,doudou,F1,Renewal,BeiJing,CS,Clear,2015-04-02,2015-04-22,20,detail
7,wangy35,F1,New,BeiJing,N/A,Pending,2015-04-02,0000-00-00,1413,detail
8,Nick,J1,New,ShangHai,Analytical chemistry,Clear,2015-04-02,2015-04-30,28,detail
9,dandan,B2,New,BeiJing,N/A,Pending,2015-04-02,0000-00-00,1413,detail
10,feedback,J1,New,ShenYang,Control Science,Pending,2015-04-02,0000-00-00,1413,detail
11,narcissuscyt,F1,Renewal,ShangHai,Biology,Clear,2015-04-03,2015-04-15,12,detail
12,HITGAOWEIHONG,J1,New,ShenYang,Materials Physics and Che,Pending,2015-04-03,0000-00-00,1412,detail
13,AA004T1ZD2,B1,New,ShangHai,Materials,Pending,2015-04-07,0000-00-00,1408,detail
14,yshao,B1,New,BeiJing,GIS,Clear,2015-04-07,2015-04-30,23,detail
15,AA004*****,J1,New,GuangZhou,medicine,Clear,2015-04-07,2015-04-24,17,detail
16,AA004SGGK0,J1,New,BeiJing,opto-electronic,Clear,2015-04-07,2015-04-27,20,detail
17,AA004*****,B2,New,BeiJing,information process,Clear,2015-04-08,2015-05-04,26,detail
18,ping,J1,Renewal,ChengDu,CS,Clear,2015-04-09,2015-05-05,26,detail
19,hero0317,B1,Renewal,ShangHai,Naval Architecture and Oc,Clear,2015-04-09,2015-04-29,20,detail
20,WC0409,J1,Renewal,BeiJing,chemistry,Clear,2015-04-09,2015-05-07,28,detail
21,Damnpolymer,B2,Renewal,BeiJing,Polymer,Clear,2015-04-09,2015-05-06,27,detail
22,Aliyah316,B1,New,BeiJing,Aerospace,Pending,2015-04-10,0000-00-00,1405,detail
23,ivyymq,B1,New,BeiJing,Optical Engineering,Clear,2015-04-10,2015-05-08,28,detail
24,quarkfcvisa,B1,New,BeiJing,N/A,Clear,2015-04-10,2015-05-09,29,detail
25,ldm,B2,New,BeiJing,computer science,Pending,2015-04-10,0000-00-00,1405,detail
26,Fiona,J1,New,GuangZhou,Mathematics,Clear,2015-04-10,2015-05-06,26,detail
27,lzhanggnvfl,H1,Renewal,BeiJing,N/A,Clear,2015-04-10,2015-05-06,26,detail
28,torontopig,B2,Renewal,Toronto,N/A,Clear,2015-04-10,2015-04-16,6,detail
29,DONRENE,B2,New,BeiJing,Pathogenic biology,Clear,2015-04-10,2015-05-11,31,detail
30,xinyatcl,B1,New,BeiJing,Thermal,Clear,2015-04-10,2015-05-07,27,detail
31,20151000900001,J1,New,NewDelhi,Aerospace,Pending,2015-04-13,0000-00-00,1402,detail
32,SDAD,B2,Renewal,BeiJing,Mechanical,Clear,2015-04-13,2015-05-11,28,detail
33,michaelpyh,F1,New,BeiJing,Chemical Engineering,Clear,2015-04-13,2015-05-11,28,detail
34,orchild,J1,New,ShangHai,Comeputer engineering,Clear,2015-04-13,2015-05-20,37,detail
35,BlueMao,H1,New,ShangHai,EE,Clear,2015-04-13,2015-05-08,25,detail
36,walsinxu,B1,Renewal,ShangHai,metal press work,Reject,2015-04-13,2015-05-04,21,detail
37,sk2,F1,Renewal,ShangHai,EE,Clear,2015-04-13,2015-04-22,9,detail
38,AA004W80M4,J1,New,Others,Electricak Egineering,Pending,2015-04-13,0000-00-00,1402,detail
39,DLH,F1,Renewal,BeiJing,Physics,Clear,2015-04-14,2015-05-08,24,detail
40,XXM,F1,Renewal,BeiJing,Chemistry,Clear,2015-04-14,2015-05-11,27,detail
41,kimirain,B1,New,BeiJing,internal medicine,Clear,2015-04-14,2015-05-05,21,detail
42,Kevs,F1,New,BeiJing,Computer Science,Clear,2015-04-14,2015-06-05,52,detail
43,KHN,B1,New,ShangHai,Engineering,Pending,2015-04-14,0000-00-00,1401,detail
44,timhan76,H1,Renewal,BeiJing,business,Pending,2015-04-14,0000-00-00,1401,detail
45,freshtea,B2,Renewal,BeiJing,computer,Clear,2015-04-14,2015-05-24,40,detail
46,G55654735,J1,Renewal,BeiJing,Bio-medical sciences,Pending,2015-04-14,0000-00-00,1401,detail
47,TAA123,J1,New,BeiJing,EE,Clear,2015-04-15,2015-05-06,21,detail
48,wwwwcccc,F1,Renewal,BeiJing,Mechanical Engineering,Clear,2015-04-15,2015-05-08,23,detail
49,ykg,B1,New,BeiJing,Pharmacy,Clear,2015-04-15,2015-05-22,37,detail
50,hanshu94,F1,Renewal,ShenYang,Electrical Engineering,Clear,2015-04-15,2015-04-22,7,detail
51,JL&EM,B1,Renewal,ShangHai,Non,Clear,2015-04-15,2015-06-04,50,detail
52,beingly,J1,New,BeiJing,Analytical Chemistry,Clear,2015-04-16,2015-05-22,36,detail
53,bearbear,B1,New,Others,Electronic Materials & En,Clear,2015-04-16,2015-05-12,26,detail
54,may,B1,New,BeiJing,Biomedical Engineering,Clear,2015-04-16,2015-05-08,22,detail
55,faraway,B1,New,Others,Computer Engineering,Clear,2015-04-16,2015-05-08,22,detail
56,miumiululu,B2,New,Europe,Material physics,Clear,2015-04-16,2015-06-01,46,detail
57,20122082,J1,New,ShangHai,Oncology,Clear,2015-04-16,2015-04-30,14,detail
58,younglee0725,J1,New,BeiJing,Immunology/Nanotechnology,Clear,2015-04-16,2015-05-11,25,detail
59,UPC,F1,New,BeiJing,Petroleum Engineering,Clear,2015-04-16,2015-05-22,36,detail
60,jiajia,F1,New,ShangHai,ME,Clear,2015-04-17,2015-05-22,35,detail
61,FZW1,F1,New,BeiJing,EE,Clear,2015-04-17,2015-05-22,35,detail
62,Zombie,F1,New,BeiJing,Chemistry,Clear,2015-04-17,2015-05-15,28,detail
63,ibpchen,B1,New,BeiJing,Biology,Clear,2015-04-17,2015-05-19,32,detail
64,vinceyuan15,F1,Renewal,BeiJing,chem,Clear,2015-04-17,2015-05-22,35,detail
65,AA004T68IO,F1,New,ShangHai,Epidemiology,Clear,2015-04-17,2015-05-26,39,detail
66,AA004VWDC*,B2,New,BeiJing,MATERIALS,Clear,2015-04-17,2015-05-22,35,detail
67,AA004VSURQ,F1,New,ShangHai,ME,Clear,2015-04-17,2015-05-22,35,detail
68,AA004WS7J2,H1,New,ShangHai,Pharmacology,Pending,2015-04-17,0000-00-00,1398,detail
69,AA004W9JB4,B1,New,BeiJing,fluid mechanics,Clear,2015-04-17,2015-05-22,35,detail
70,AA004WWXXY,J1,New,BeiJing,Geology,Clear,2015-04-17,2015-06-03,47,detail
71,siu2case,H1,New,BeiJing,Materials,Clear,2015-04-20,2015-05-29,39,detail
72,nanoyaya,B1,New,BeiJing,Materials,Clear,2015-04-20,2015-05-22,32,detail
73,snoowball,H1,Renewal,Europe,Computer Science,Clear,2015-04-20,2015-05-26,36,detail
74,AA004TN9SS,F1,Renewal,ShangHai,Computer Science,Clear,2015-04-20,2015-05-21,31,detail
75,B2shanghai,B2,Renewal,ShangHai,Communication Engineering,Clear,2015-04-20,2015-05-22,32,detail
76,maplelzq,F1,Renewal,BeiJing,Microbiology and Immunolo,Clear,2015-04-20,2015-05-15,25,detail
77,bcz,B2,New,ShangHai,Communication engineering,Clear,2015-04-20,2015-05-26,36,detail
78,AA004WZMRG,B1,New,BeiJing,N/A,Pending,2015-04-20,0000-00-00,1395,detail
79,xzzon,B1,New,Others,CS,Clear,2015-04-20,2015-05-26,36,detail
80,checkee111,H1,New,BeiJing,virology,Clear,2015-04-20,2015-05-23,33,detail
81,happyhexiao,H4,New,ShangHai,Other,Clear,2015-04-20,2015-06-03,44,detail
82,Thx,L1,New,ShangHai,Automatic,Clear,2015-04-20,2015-06-05,46,detail
83,Thx,L2,New,ShangHai,EE,Clear,2015-04-20,2015-06-30,71,detail
84,AAxxxxxxx,J1,New,BeiJing,Mechanical Machining,Pending,2015-04-20,0000-00-00,1395,detail
85,psw,L1,New,BeiJing,Chemical Engineer,Clear,2015-04-21,2015-05-26,35,detail
86,AA004VDQD8E,B2,New,ShangHai,N/A,Pending,2015-04-21,0000-00-00,1394,detail
87,weihua93,J1,New,BeiJing,Immunology,Clear,2015-04-21,2015-05-27,36,detail
88,peteron,J1,New,BeiJing,N/A,Pending,2015-04-21,0000-00-00,1394,detail
89,RR,J1,New,ShangHai,biology,Clear,2015-04-21,2015-05-19,28,detail
90,linlin,J1,Renewal,GuangZhou,chemistry,Clear,2015-04-21,2015-05-22,31,detail
91,Eva,B1,New,ShangHai,N/A,Clear,2015-04-21,2015-05-04,13,detail
92,luoluoma,F1,Renewal,GuangZhou,Computer Science,Clear,2015-04-21,2015-05-22,31,detail
93,AA004SVUN4,J1,New,ChengDu,phytochemistry,Clear,2015-04-22,2015-06-02,41,detail
94,greenygreen,J1,New,BeiJing,chemical biology,Clear,2015-04-22,2015-05-26,34,detail
95,saintglory,F1,New,BeiJing,electronic engineering,Clear,2015-04-22,2015-05-15,23,detail
96,David,B1,New,BeiJing,optical solar,Pending,2015-04-22,0000-00-00,1393,detail
97,moonsky219,F1,New,ShangHai,Computer Science,Clear,2015-04-22,2015-05-26,34,detail
98,GR007,F1,New,ShangHai,Biological Science,Clear,2015-04-22,2015-05-20,28,detail
99,GR007,F2,New,ShangHai,Biological Science,Clear,2015-04-22,2015-05-20,28,detail
100,selena,J1,New,ShangHai,cell biology,Clear,2015-04-22,2015-05-20,28,detail
101,YY,B1,New,Europe,Computer networking,Clear,2015-04-22,2015-05-26,34,detail
102,yewen521,J1,New,BeiJing,comminication and informa,Clear,2015-04-22,2015-05-15,23,detail
103,Alessio,B1,New,Europe,Computer Networks,Clear,2015-04-22,2015-05-19,27,detail
104,David,B1,New,BeiJing,optical solar,Pending,2015-04-22,0000-00-00,1393,detail
105,JerryLi,H1,New,Ottawa,EE,Clear,2015-04-23,2015-05-26,33,detail
106,pss,F1,Renewal,BeiJing,solar energy,Clear,2015-04-23,2015-05-22,29,detail
107,xiaohu,F1,New,BeiJing,CS,Clear,2015-04-23,2015-05-26,33,detail
108,menghuirenjing,B1,Renewal,BeiJing,Materials Science,Clear,2015-04-23,2015-05-26,33,detail
109,Webcast,B2,Renewal,BeiJing,NONE,Clear,2015-04-23,2015-05-26,33,detail
110,YYLOVELL,J1,New,ChengDu,CS,Clear,2015-04-23,2015-06-02,40,detail
111,brucenet,F1,Renewal,BeiJing,CS,Clear,2015-04-23,2015-05-26,33,detail
112,xiatang,F1,New,ChengDu,Biology PhD,Clear,2015-04-23,2015-07-17,85,detail
