,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,mmega,H1,Renewal,ShangHai,Biochemistry,Clear,2009-01-05,2009-03-31,85,detail
1,100,H1,Renewal,ShenYang,Chemical Engineering,Clear,2009-01-05,2009-04-06,91,detail
2,ford99,H1,Renewal,ShangHai,Mathmatics,Clear,2009-01-05,2009-04-01,86,detail
3,thinkme,H1,Renewal,BeiJing,Aero,Clear,2009-01-05,2009-05-20,135,detail
4,aaa,H1,Renewal,BeiJing,physics,Clear,2009-01-05,2009-04-02,87,detail
5,Chao,H1,Renewal,GuangZhou,medicine,Clear,2009-01-05,2009-04-15,100,detail
6,71,H1,Renewal,Toronto,EE,Clear,2009-01-05,2009-04-14,99,detail
7,komunling,H1,New,ShangHai,Bioinformatics,Clear,2009-01-06,2009-04-07,91,detail
8,fjr_2009,F1,New,ShangHai,EE,Clear,2009-01-06,2009-02-28,53,detail
9,Bluewater,H1,,ShangHai,CS,Clear,2009-01-07,2009-04-10,93,detail
10,kevin,H1,Renewal,ShenYang,Chem,Clear,2009-01-07,2009-04-09,92,detail
11,zhangge,H1,Renewal,ChengDu,Statistical Genetics,Clear,2009-01-07,2009-04-08,91,detail
12,expiate,H1,Renewal,ChengDu,Information Science,Clear,2009-01-07,2009-04-07,90,detail
13,lq958,H1,New,BeiJing,medical science,Clear,2009-01-07,2009-04-10,93,detail
14,unluckyinchengd,H1,Renewal,ChengDu,ECE,Clear,2009-01-07,2009-04-02,85,detail
15,flyingmonkey,H4,Renewal,ChengDu,MBA,Clear,2009-01-07,2009-04-08,91,detail
16,ywhk,H1,Renewal,ShenYang,biology,Clear,2009-01-07,2009-04-20,103,detail
17,wjzr76,H1,Renewal,Others,EE,Clear,2009-01-08,2009-04-09,91,detail
18,SF,H1,Renewal,Others,Chem,Clear,2009-01-08,2009-04-08,90,detail
19,ccruz,H1,Renewal,BeiJing,EE,Clear,2009-01-09,2009-04-09,90,detail
20,ppqq,H1,New,BeiJing,EE,Clear,2009-01-10,2009-04-08,88,detail
21,usdgood,B2,Renewal,ChengDu,chemistry,Clear,2009-01-12,2009-04-10,88,detail
22,ray,L1,New,GuangZhou,N/A,Clear,2009-01-12,2009-04-08,86,detail
23,wuhanJan,H1,New,GuangZhou,cancer biology,Clear,2009-01-12,2009-04-15,93,detail
24,berry7e7,L1,New,ShangHai,EE,Clear,2009-01-12,2009-04-09,87,detail
25,rc,L2,New,GuangZhou,N/A,Clear,2009-01-12,2009-04-08,86,detail
26,noid,H1,,ChengDu,CS,Clear,2009-01-13,2009-04-08,85,detail
27,viviencat,H4,New,Others,N/A,Clear,2009-01-13,2009-04-07,84,detail
28,paopao,H1,Renewal,BeiJing,EE,Clear,2009-01-13,2009-04-23,100,detail
29,ykcheiccas,H1,Renewal,BeiJing,Chemistry,Clear,2009-01-13,2009-04-08,85,detail
30,changchunfeng,H1,Renewal,BeiJing,computer science,Clear,2009-01-13,2009-04-14,91,detail
31,caidoz,H1,Renewal,Others,CS,Clear,2009-01-13,2009-04-28,105,detail
32,familywang,H1,New,Others,radiation oncology,Clear,2009-01-13,2009-04-08,85,detail
33,familywang2and3,H4,New,Others,N/A,Clear,2009-01-13,2009-04-08,85,detail
34,ibm,J1,New,ShangHai,MECH,Clear,2009-01-13,2009-05-14,121,detail
35,haha,J2,New,ShenYang,N/A,Clear,2009-01-13,2010-03-16,427,detail
36,lhm,B1,,ShangHai,EE,Clear,2009-01-14,2009-04-14,90,detail
37,li777,H1,Renewal,BeiJing,N/A,Clear,2009-01-14,2009-03-14,59,detail
