,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,quickissue,F2,New,ShangHai,physics,Clear,2016-07-01,2016-08-05,35,detail
1,anotherdawn,B1,New,ShangHai,Computer Sciense,Pending,2016-07-01,0000-00-00,957,detail
2,Gudgeon,F1,New,ChengDu,Mechanical Engineering,Clear,2016-07-01,2016-07-21,20,detail
3,jssss,F1,New,ShangHai,Information Systems,Pending,2016-07-01,0000-00-00,957,detail
4,brucewang,F1,Renewal,ShenYang,ME,Clear,2016-07-01,2016-07-22,21,detail
5,Vinda-w,F1,New,ShangHai,Biomedical science,Clear,2016-07-01,2016-08-04,34,detail
6,Ning,B2,New,ShangHai,material physics and chem,Clear,2016-07-01,2016-07-26,25,detail
7,sweetbacking,F1,New,ShangHai,non STEM major,Clear,2016-07-01,2016-07-28,27,detail
8,tony611,J1,New,ShangHai,mechanical,Clear,2016-07-01,2016-07-26,25,detail
9,appletv4,J1,New,ShangHai,CS,Clear,2016-07-01,2016-08-02,32,detail
10,komkovilya,B1,New,Europe,Journalist,Pending,2016-07-01,0000-00-00,957,detail
11,agxgx,J1,New,BeiJing,Materials Science and Eng,Clear,2016-07-05,2016-07-28,23,detail
12,glacierdidi,F1,Renewal,ShenYang,Electrical Engineering,Clear,2016-07-05,2016-07-25,20,detail
13,sunson,F1,New,ShangHai,Computer and Information,Clear,2016-07-05,2016-08-03,29,detail
14,Lisa,F1,New,ShangHai,Master of informatics,Clear,2016-07-05,2016-07-26,21,detail
15,FuckDatShit,H1,Renewal,BeiJing,Industrial Engineering,Pending,2016-07-05,0000-00-00,953,detail
16,gx2016,H1,New,BeiJing,CS,Clear,2016-07-05,2016-07-25,20,detail
17,Zjy93,F1,New,ShangHai,Pharmacy,Clear,2016-07-05,2016-07-25,20,detail
18,arch2016,J1,New,ShangHai,Physics,Clear,2016-07-05,2016-08-05,31,detail
19,jiak94,F1,New,GuangZhou,Computer Science,Clear,2016-07-05,2016-07-27,22,detail
20,yulu5678,F1,Renewal,ShangHai,Chemical Engineering,Clear,2016-07-05,2016-07-22,17,detail
21,binginging,J1,Renewal,BeiJing,ME,Clear,2016-07-05,2016-07-25,20,detail
22,Victor1,F1,New,ShenYang,Mechanical Engineering,Clear,2016-07-05,2016-07-22,17,detail
23,fredove,B1,New,BeiJing,Optoelectronics,Clear,2016-07-05,2016-07-27,22,detail
24,anshnamm,L1,New,BeiJing,Micro electronic,Clear,2016-07-05,2016-07-26,21,detail
25,vvv,H1,New,ShangHai,EE,Clear,2016-07-05,2016-07-25,20,detail
26,aqianmerry,J1,New,ShangHai,biomedical,Clear,2016-07-05,2016-08-12,38,detail
27,Cckkxx,F1,Renewal,ChengDu,Petroleum Engineering,Clear,2016-07-06,2016-07-28,22,detail
28,C.C.,F1,Renewal,GuangZhou,CS,Clear,2016-07-06,2016-07-27,21,detail
29,veronicazhu,J1,New,ShangHai,Material Science,Clear,2016-07-06,2016-07-27,21,detail
30,NAN,F1,New,ShenYang,Biomedical science,Pending,2016-07-06,0000-00-00,952,detail
31,jasonzhuy,F1,New,GuangZhou,Business Administration,Clear,2016-07-06,2016-07-28,22,detail
32,123456,B1,New,ShangHai,cs,Clear,2016-07-06,2016-07-30,24,detail
