,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,thanos,J1,New,Others,Biomolecular Engineering,Clear,2015-10-01,2015-10-23,22,detail
1,vivian,B2,New,Others,N/A,Pending,2015-10-01,0000-00-00,1231,detail
2,liyfworld,H1,Renewal,MexicoCity,EE,Clear,2015-10-02,2015-11-09,38,detail
3,bog,B1,New,Others,Nuclear Engineering,Clear,2015-10-06,2015-10-23,17,detail
4,why,H1,New,BeiJing,EE,Clear,2015-10-06,2015-10-09,3,detail
5,CASIA,J1,New,BeiJing,EE,Clear,2015-10-06,2015-10-29,23,detail
6,michael15,F1,Renewal,ShangHai,EE,Clear,2015-10-06,2015-10-19,13,detail
7,yilian1321,B1,New,ShangHai,Mechnical Engineering,Clear,2015-10-06,2015-10-16,10,detail
8,LaTour,B1,New,BeiJing,Planetary Geology,Clear,2015-10-06,2015-11-02,27,detail
9,zbsinap,J1,New,Europe,Nuclear Technology and Ap,Clear,2015-10-06,2015-12-10,65,detail
10,tigerylx,H1,New,GuangZhou,ME,Clear,2015-10-07,2015-10-23,16,detail
11,gaicheng,B1,New,BeiJing,mechanical engineering,Clear,2015-10-07,2015-10-28,21,detail
12,avocado,H1,New,BeiJing,Chemical Engineering,Clear,2015-10-07,2015-10-27,20,detail
13,jorgeramos,H1,Renewal,ShangHai,Economics/Finance,Clear,2015-10-07,2015-10-15,8,detail
14,jay,H1,New,BeiJing,CS,Clear,2015-10-07,2015-10-30,23,detail
15,cindycindy,F1,Renewal,ShangHai,CS,Clear,2015-10-07,2015-10-22,15,detail
16,bradbu,J1,New,ShangHai,Material Sci,Clear,2015-10-07,2015-11-06,30,detail
17,UT,F1,Renewal,ChengDu,EE,Clear,2015-10-08,2015-10-28,20,detail
18,feiniao86,B1,Renewal,ShangHai,airplane,Clear,2015-10-08,2015-11-02,25,detail
19,luolideluoli,J1,Renewal,BeiJing,Pyhsical Electronics,Pending,2015-10-08,0000-00-00,1224,detail
20,tanyonder,H1,New,ShangHai,EE,Clear,2015-10-08,2015-11-04,27,detail
21,usclassb,B1,New,BeiJing,CS,Clear,2015-10-08,2015-11-04,27,detail
22,zivonren,F1,Renewal,BeiJing,CS,Clear,2015-10-08,2015-10-29,21,detail
23,CXKASH,L1,New,BeiJing,marketing,Pending,2015-10-13,0000-00-00,1219,detail
24,fpe110,J1,New,ChengDu,Biochem,Clear,2015-10-13,2015-10-30,17,detail
25,googoodolls,H1,Renewal,BeiJing,materials sci,Clear,2015-10-13,2015-11-05,23,detail
26,ccccc,F1,Renewal,Europe,Physics,Clear,2015-10-13,2015-10-15,2,detail
27,AA005E4TXI,L1,New,BeiJing,Software Engineering,Clear,2015-10-13,2015-10-21,8,detail
28,sskid,F1,Renewal,BeiJing,CS,Clear,2015-10-13,2015-11-04,22,detail
29,weiwei,J1,Renewal,BeiJing,Biochemistry and molecula,Clear,2015-10-13,2015-11-04,22,detail
30,feverone,H1,New,BeiJing,CS,Clear,2015-10-14,2015-10-26,12,detail
31,yixiw,J1,New,BeiJing,Phisics,Pending,2015-10-15,0000-00-00,1217,detail
32,AA005URKS,B1,Renewal,BeiJing,N/A,Pending,2015-10-15,0000-00-00,1217,detail
33,AA005DURKS,B1,Renewal,BeiJing,N/A,Pending,2015-10-15,0000-00-00,1217,detail
34,kathyliu,H1,New,BeiJing,Economics,Pending,2015-10-15,0000-00-00,1217,detail
35,siiapisaitsai,H1,New,GuangZhou,economics,Clear,2015-10-15,2015-10-23,8,detail
36,miracler,H1,New,ChengDu,Petroleum Eng,Clear,2015-10-16,2015-11-09,24,detail
37,wang341,H1,Renewal,BeiJing,Computational Biology,Clear,2015-10-16,2015-11-18,33,detail
38,kk,B1,New,BeiJing,chemistry,Clear,2015-10-19,2015-11-09,21,detail
39,haruhi103,H1,New,ShenYang,chemical engineering,Clear,2015-10-19,2015-11-10,22,detail
40,guoxi,H1,Renewal,BeiJing,Biology,Clear,2015-10-19,2015-11-13,25,detail
41,wbcoolboy,F1,Renewal,BeiJing,biotechnology,Clear,2015-10-19,2015-11-09,21,detail
42,misslara,J1,New,ShangHai,CS,Clear,2015-10-19,2015-11-18,30,detail
43,yahoozhuo,B1,Renewal,ShangHai,N/A,Pending,2015-10-19,0000-00-00,1213,detail
44,stellaqiu,F1,Renewal,ShangHai,Computational Chemistry,Clear,2015-10-19,2015-10-23,4,detail
45,Cappucci,J1,Renewal,ShangHai,BME,Clear,2015-10-19,2015-11-09,21,detail
46,wbcoolboy,F1,Renewal,BeiJing,Biotechnology,Pending,2015-10-19,0000-00-00,1213,detail
47,skylerwang,J1,New,ShangHai,cancer bio,Clear,2015-10-19,2015-11-16,28,detail
48,azbycx,H1,New,ShangHai,CS,Clear,2015-10-19,2015-11-05,17,detail
49,pzhg,J1,New,BeiJing,Signal processing,Clear,2015-10-19,2015-11-09,21,detail
50,lekiya,F1,New,BeiJing,chemical engineering,Clear,2015-10-20,2015-11-09,20,detail
51,HK2015,F1,New,BeiJing,Mechanical,Clear,2015-10-20,2015-11-12,23,detail
52,CheetahinBeijin,H1,New,BeiJing,Communication Management,Clear,2015-10-20,2015-11-20,31,detail
53,qtwawa11,H1,New,BeiJing,physics,Clear,2015-10-20,2015-11-13,24,detail
54,dstyle,B2,New,BeiJing,SE,Clear,2015-10-20,2015-11-20,31,detail
55,AA005F6YVM,J1,New,BeiJing,Civil Engineering,Pending,2015-10-20,0000-00-00,1212,detail
56,mumu,B1,New,ShangHai,Microelectronics,Clear,2015-10-20,2015-11-06,17,detail
57,james,J1,New,ShangHai,bio,Clear,2015-10-20,2015-11-12,23,detail
58,qlu,H1,Renewal,ShangHai,Physics,Clear,2015-10-20,2015-11-13,24,detail
59,ltt,B1,New,ShangHai,genetics,Clear,2015-10-20,2015-11-16,27,detail
60,lovely pan,B2,New,BeiJing,pesticide,Clear,2015-10-20,2015-11-09,20,detail
61,qq,B1,New,ChengDu,surveying and maping,Clear,2015-10-20,2015-11-12,23,detail
62,pwng,H1,New,ChengDu,Computer Science,Clear,2015-10-20,2015-11-10,21,detail
63,roger,B1,New,ChengDu,Electricity and Communica,Clear,2015-10-20,2015-11-12,23,detail
64,malongle,F1,Renewal,BeiJing,Chemistry,Clear,2015-10-21,2015-11-12,22,detail
65,AA005FYCHS,F1,New,BeiJing,N/A,Pending,2015-10-21,0000-00-00,1211,detail
66,375804125,B1,New,BeiJing,N/A,Pending,2015-10-21,0000-00-00,1211,detail
67,G34126409,B1,Renewal,BeiJing,Machine learning,Clear,2015-10-21,2015-10-23,2,detail
68,qiuyangs,F1,Renewal,ShangHai,Chemical Physics,Clear,2015-10-21,2015-10-26,5,detail
69,taogao,J1,New,BeiJing,CS,Clear,2015-10-21,2015-11-10,20,detail
70,AMAP,B1,Renewal,BeiJing,GPS,Clear,2015-10-21,2015-11-10,20,detail
71,eecmp,J1,New,HongKong,ECE,Clear,2015-10-22,2015-11-24,33,detail
72,hyyyhk,B1,New,ShangHai,Materials,Clear,2015-10-22,2015-11-20,29,detail
73,bobo,B1,Renewal,Others,materials,Clear,2015-10-22,2015-11-13,22,detail
74,AA005E7DJO,J1,New,GuangZhou,pharmaceutical,Pending,2015-10-22,0000-00-00,1210,detail
75,bottom9th,H1,New,ShangHai,Information Technology,Clear,2015-10-22,2015-11-20,29,detail
76,inlandrookie,H1,New,BeiJing,Computer Science,Clear,2015-10-22,2015-11-16,25,detail
77,checkee2015,B2,New,Others,CS,Clear,2015-10-22,2015-12-05,44,detail
78,daocaoxin,J1,New,ShangHai,pharmaceutics,Clear,2015-10-22,2015-11-13,22,detail
79,Neptune,H1,New,ShangHai,EE,Clear,2015-10-22,2015-11-17,26,detail
80,crfadads,H1,Renewal,ShangHai,H1b,Pending,2015-10-22,0000-00-00,1210,detail
81,xfyanghot,B1,Renewal,GuangZhou,CS,Pending,2015-10-23,0000-00-00,1209,detail
82,jjchou,J1,New,BeiJing,Physics,Clear,2015-10-23,2015-11-16,24,detail
83,lizzie,B2,New,ShangHai,E,Clear,2015-10-23,2015-12-09,47,detail
84,Karli,F1,Renewal,BeiJing,Neurobiology,Pending,2015-10-23,0000-00-00,1209,detail
85,test01,B1,Renewal,GuangZhou,N/A,Pending,2015-10-23,0000-00-00,1209,detail
86,jdzyc,J1,New,ShangHai,Bioinformatics,Clear,2015-10-23,2015-10-29,6,detail
87,123456,H1,New,BeiJing,CS,Clear,2015-10-26,2015-11-25,30,detail
