,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,stgyd,H1,Renewal,ShangHai,CS,Clear,2013-07-01,2013-09-03,64,detail
1,ARBBT,F1,Renewal,BeiJing,CS,Clear,2013-07-01,2013-08-14,44,detail
2,AraDoria,F1,New,GuangZhou,Microbiology,Clear,2013-07-01,2013-08-13,43,detail
3,scp,F1,New,BeiJing,CS,Pending,2013-07-01,0000-00-00,2053,detail
4,beckhamhw,B2,New,GuangZhou,N/A,Clear,2013-07-01,2013-08-30,60,detail
5,dmoney,F1,Renewal,BeiJing,Chemistry,Clear,2013-07-01,2013-08-12,42,detail
6,byang,F1,New,BeiJing,EE,Clear,2013-07-01,2013-08-21,51,detail
7,aa003czavi,J2,New,ShangHai,N/A,Clear,2013-07-01,2013-08-20,50,detail
8,AA003CJF3I,F1,New,ShangHai,isi,Clear,2013-07-01,2013-08-15,45,detail
9,wmt2002,F1,New,BeiJing,Mechanical and aerospace,Clear,2013-07-01,2013-08-19,49,detail
10,AA003C7MN0,J1,New,BeiJing,EE,Clear,2013-07-01,2013-08-19,49,detail
11,yiyi,F1,New,GuangZhou,biochemistry and molecula,Pending,2013-07-01,0000-00-00,2053,detail
12,AA003CRN0Q,F1,New,ShenYang,EE,Clear,2013-07-01,2013-08-21,51,detail
13,AA003CRN6E,J1,New,ChengDu,N/A,Clear,2013-07-01,2013-08-22,52,detail
14,AA003B74E2,J1,New,ShangHai,Medicinal Chemistry,Clear,2013-07-01,2013-08-20,50,detail
15,zgd74@hotmail.c,J1,Renewal,GuangZhou,biomedical engineering,Clear,2013-07-01,2013-08-16,46,detail
16,dangjiuxiao,B1,Renewal,BeiJing,Optics,Clear,2013-07-01,2013-08-23,53,detail
17,dreamelfmxy,F1,New,BeiJing,Chemistry,Clear,2013-07-01,2013-08-22,52,detail
18,AA003C477M,J1,New,BeiJing,Immunology and Genomics,Clear,2013-07-01,2013-08-20,50,detail
19,RickyYE,F1,New,ShangHai,Computer Science,Clear,2013-07-01,2013-08-20,50,detail
20,AA003C7HN6,F1,New,ShangHai,EE,Clear,2013-07-01,2013-08-21,51,detail
21,pleaseissuesoon,F1,New,BeiJing,biochemistry,Clear,2013-07-01,2013-08-20,50,detail
22,lydia,F1,New,BeiJing,EE,Clear,2013-07-01,2013-08-20,50,detail
23,shui333,F1,New,BeiJing,Bioinformatics,Clear,2013-07-01,2013-08-19,49,detail
24,AA003D7DTO,J1,New,ShangHai,MEDICINE,Clear,2013-07-01,2013-08-21,51,detail
25,ferdinand,F1,Renewal,BeiJing,neuroscience,Clear,2013-07-01,2013-09-27,88,detail
26,GinTonic,J1,New,ShangHai,N/A,Clear,2013-07-01,2013-08-15,45,detail
27,troydes,F1,Renewal,ChengDu,Mechanical Engineering,Clear,2013-07-01,2013-08-20,50,detail
28,terry,F1,New,BeiJing,EE,Clear,2013-07-01,2013-08-19,49,detail
29,badger,F1,Renewal,BeiJing,CS,Clear,2013-07-01,2013-08-21,51,detail
30,li3939108,F1,New,BeiJing,CompE,Clear,2013-07-01,2013-08-14,44,detail
31,jojo,F1,Renewal,ShangHai,EE,Clear,2013-07-01,2013-08-20,50,detail
32,woodbyriver,J2,New,BeiJing,"biology, cancer, antibody",Clear,2013-07-01,2013-08-20,50,detail
33,jason,F1,New,BeiJing,CS,Clear,2013-07-01,2013-08-16,46,detail
34,AA003D8GWG,J1,New,GuangZhou,EE,Clear,2013-07-01,2013-08-16,46,detail
35,whc,F1,New,ShangHai,food safety,Clear,2013-07-01,2013-08-14,44,detail
36,nullas,F1,New,BeiJing,CS,Clear,2013-07-01,2013-08-20,50,detail
37,AA003CV6TC,F1,New,ShangHai,EE,Clear,2013-07-01,2013-08-16,46,detail
38,lxy,B1,Renewal,BeiJing,CS,Clear,2013-07-01,2013-08-28,58,detail
39,danei,F1,New,BeiJing,CS,Clear,2013-07-01,2013-08-12,42,detail
40,<30days,F1,New,ShangHai,ee,Clear,2013-07-01,2013-08-19,49,detail
41,sealdoomer,F1,New,ChengDu,Computer Science,Clear,2013-07-01,2013-08-23,53,detail
42,Liu,F1,New,BeiJing,ME,Clear,2013-07-01,2013-08-22,52,detail
43,troy,F1,New,BeiJing,Software Engineering,Clear,2013-07-01,2013-08-15,45,detail
44,wenjuan,J2,New,ShangHai,N/A,Clear,2013-07-01,2013-08-27,57,detail
45,mochamosse,F1,Renewal,GuangZhou,CS,Clear,2013-07-01,2013-08-21,51,detail
46,wander_around,F1,New,ChengDu,MSE,Clear,2013-07-01,2013-08-16,46,detail
47,Hop-ing,F1,New,ChengDu,Biomedical Sciences,Clear,2013-07-01,2013-08-20,50,detail
48,zyh,F1,New,GuangZhou,ME,Clear,2013-07-01,2013-08-13,43,detail
49,lazy_koala,F1,Renewal,ShangHai,EE,Clear,2013-07-01,2013-08-12,42,detail
50,zhangjc,J1,New,ShenYang,cell biology,Clear,2013-07-01,2013-08-21,51,detail
51,xsj,F1,New,BeiJing,Materials Engineering,Clear,2013-07-01,2013-08-15,45,detail
52,QDCJY,F1,New,BeiJing,polymer S&T,Clear,2013-07-01,2013-08-19,49,detail
53,AA003D30DK,J1,New,ShenYang,Chemistry,Clear,2013-07-02,2013-08-30,59,detail
54,michaelwade,F1,New,ShangHai,ME,Clear,2013-07-02,2013-08-14,43,detail
55,AA00361XMD,H1,New,BeiJing,CS,Clear,2013-07-02,2013-08-26,55,detail
56,BIOGXZ,F1,Renewal,BeiJing,Biomedicine,Clear,2013-07-02,2013-08-20,49,detail
57,pigtail,F1,New,BeiJing,MSE,Clear,2013-07-02,2013-08-20,49,detail
58,yuhan,F1,New,BeiJing,Biology,Pending,2013-07-02,0000-00-00,2052,detail
59,lilg0624,J1,New,ShangHai,MSE,Clear,2013-07-02,2013-08-21,50,detail
60,Monalulu,F1,New,ShangHai,Molecular&Cellular Biolog,Clear,2013-07-02,2013-08-20,49,detail
61,Clear,F1,Renewal,BeiJing,ME,Clear,2013-07-02,2013-08-12,41,detail
62,vivienyu006,F1,New,ShangHai,Biomedical Engineering,Clear,2013-07-02,2013-08-21,50,detail
63,AA003DN4U6,F1,New,ChengDu,CE,Clear,2013-07-02,2013-08-13,42,detail
64,evolutionlck,F1,New,BeiJing,Chemical Engineering,Pending,2013-07-02,0000-00-00,2052,detail
65,AA003C4O6K,J1,New,BeiJing,Automatic Control,Clear,2013-07-02,2013-08-15,44,detail
66,AA0036KA63,F1,Renewal,BeiJing,Chemical Engineering,Clear,2013-07-02,2013-08-16,45,detail
67,wang,F1,Renewal,BeiJing,Chemical engineering,Clear,2013-07-02,2013-08-20,49,detail
