,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,ottawacheck,F1,Renewal,Ottawa,ME,Clear,2009-10-06,2009-10-19,13,detail
1,FFFFFF,B1,New,Others,Material,Clear,2009-10-06,2009-10-21,15,detail
2,cabbage,J1,New,ShangHai,Chemical Engineering,Clear,2009-10-07,2009-10-24,17,detail
3,timek,J1,New,BeiJing,EE,Clear,2009-10-07,2009-10-21,14,detail
4,ldg,H1,New,ShenYang,Microbiology,Clear,2009-10-07,2009-10-26,19,detail
5,josiezhang,B1,New,BeiJing,EE,Clear,2009-10-08,2009-10-23,15,detail
6,xu_teng,H1,New,GuangZhou,Biochem & Mol bio,Clear,2009-10-08,2009-10-29,21,detail
7,iforuiforu,J1,New,ShenYang,Biomedical Science,Clear,2009-10-09,2009-10-23,14,detail
8,BeijingDC,H1,Renewal,BeiJing,Physics,Clear,2009-10-09,2009-10-21,12,detail
9,shjh1982,H1,New,ChengDu,EE,Clear,2009-10-09,2009-11-10,32,detail
10,aq,B1,New,Ottawa,Bioinformatics,Clear,2009-10-09,2009-11-20,42,detail
11,guorong,H1,New,BeiJing,Aerospace Engineering,Pending,2009-10-12,0000-00-00,3411,detail
12,hbxsgf,H1,New,BeiJing,Neurobiology,Clear,2009-10-13,2009-10-29,16,detail
13,yimlu,H1,New,ShangHai,Computer Science,Clear,2009-10-13,2009-10-23,10,detail
14,NYND,H1,New,Others,EE,Clear,2009-10-13,2009-10-22,9,detail
15,coldspring08,J1,Renewal,ShangHai,neuroscience,Clear,2009-10-13,2009-10-29,16,detail
16,odieXin,B1,New,BeiJing,EE,Clear,2009-10-15,2009-10-29,14,detail
17,TONGHUA,L2,New,BeiJing,artificial intelligence,Clear,2009-10-15,2009-11-02,18,detail
18,brightgrace,J1,New,ShangHai,genetics,Clear,2009-10-15,2009-10-29,14,detail
19,wangpele,J1,New,BeiJing,computational neuronscien,Clear,2009-10-15,2009-10-29,14,detail
20,Neptune,J2,New,ShangHai,Medicinal Chemistry,Clear,2009-10-15,2009-10-29,14,detail
21,maple6,J1,New,HongKong,civil engineering,Clear,2009-10-16,2009-10-28,12,detail
22,dunmin,J1,New,BeiJing,developmental biology,Clear,2009-10-16,2009-11-23,38,detail
23,start123,H1,Renewal,HongKong,computer science,Clear,2009-10-19,2009-10-26,7,detail
24,s3c44b0x,B1,New,BeiJing,Control Theory and Engine,Clear,2009-10-19,2010-04-08,171,detail
25,mzhome,H1,Renewal,BeiJing,Chemistry,Clear,2009-10-19,2009-11-05,17,detail
26,abide831,F1,Renewal,HongKong,Mechanical Engineering,Clear,2009-10-19,2009-11-10,22,detail
27,gg,J1,New,ShangHai,chemistry,Clear,2009-10-20,2009-11-04,15,detail
28,jiecaima,H1,Renewal,ShangHai,Chemistry,Clear,2009-10-20,2009-11-06,17,detail
29,colvin,J1,New,BeiJing,Climate Change,Clear,2009-10-20,2009-11-06,17,detail
30,cscl,J1,New,BeiJing,Computer Science,Clear,2009-10-20,2009-11-06,17,detail
31,eric,L1,New,Europe,Technology Management,Clear,2009-10-20,2009-10-29,9,detail
32,lorna,L2,New,Europe,E-Services,Clear,2009-10-20,2009-10-29,9,detail
33,wuwenhua,F2,Renewal,BeiJing,Chemical Engineering,Clear,2009-10-20,2009-11-18,29,detail
34,robot,J1,New,GuangZhou,economics,Clear,2009-10-21,2009-11-10,20,detail
35,qjvo,J1,New,BeiJing,chemistry,Clear,2009-10-22,2009-11-06,15,detail
36,digigi,B2,New,ShangHai,EE,Clear,2009-10-22,2009-11-07,16,detail
37,viyong,B1,New,BeiJing,EE,Clear,2009-10-22,2009-11-09,18,detail
38,churchhan,B1,New,BeiJing,EE,Clear,2009-10-23,2009-11-09,17,detail
39,stevexdx,H1,New,Ottawa,Chemistry,Clear,2009-10-26,2009-11-10,15,detail
40,dianbei,B1,New,BeiJing,Opto-electronic,Clear,2009-10-26,2009-11-09,14,detail
41,marilynly,J1,New,ShenYang,material science,Clear,2009-10-26,2009-10-27,1,detail
42,sean2009,H1,New,Toronto,Computer Science,Clear,2009-10-26,2009-11-12,17,detail
43,mryg,H1,New,ShangHai,Materials Sci. & Eng.,Clear,2009-10-26,2009-11-05,10,detail
44,ural,J1,New,BeiJing,Computer Science,Clear,2009-10-27,2009-11-18,22,detail
45,zzzjfall26,J2,New,BeiJing,Optical Engineering,Clear,2009-10-27,2009-11-18,22,detail
46,Simon,B1,New,ShangHai,Computer Science,Clear,2009-10-27,2009-11-10,14,detail
47,vext,J1,New,ShenYang,Chemistry,Clear,2009-10-27,2009-11-10,14,detail
48,lychx,J1,New,ShangHai,EE,Clear,2009-10-28,2009-11-26,29,detail
49,xigua88,F1,New,HongKong,EE,Clear,2009-10-28,2009-11-12,15,detail
50,oline526,J1,New,GuangZhou,Chemistry,Clear,2009-10-28,2009-11-19,22,detail
51,fishbug,F2,New,HongKong,EE,Clear,2009-10-28,2009-11-10,13,detail
52,k999,H1,Renewal,ShangHai,chemistry,Clear,2009-10-28,2009-11-13,16,detail
53,pengpeng,B1,Renewal,BeiJing,EE,Clear,2009-10-29,2009-11-04,6,detail
54,52940,L2,New,BeiJing,EC,Clear,2009-10-29,2009-11-18,20,detail
55,wangphy,J1,Renewal,ShangHai,neurobiology,Clear,2009-10-29,2009-11-17,19,detail
56,sn,H1,Renewal,BeiJing,EE,Clear,2009-10-29,2009-11-23,25,detail
57,car,F2,Renewal,GuangZhou,MBA,Clear,2009-10-29,2010-02-01,95,detail
58,carolqie,J1,New,ShangHai,Microbiology,Clear,2009-10-30,2009-11-20,21,detail
59,62565,J1,New,ShangHai,Bioinformatics,Pending,2009-10-30,0000-00-00,3393,detail
60,NoCheckAnyMore,H1,New,BeiJing,CS,Clear,2009-10-30,2009-11-18,19,detail
61,jjww,H1,Renewal,ShangHai,Atmospheric Science,Clear,2009-10-30,2009-11-16,17,detail
62,zdxf,J1,New,BeiJing,Condensed Matter Physics,Clear,2009-10-30,2009-11-23,24,detail
63,sherry0514,F1,New,GuangZhou,CS,Clear,2009-10-30,2009-11-24,25,detail
