,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,ticc,F1,Renewal,ShangHai,physics,Clear,2011-06-01,2011-06-27,26,detail
1,wondershow,F1,New,BeiJing,CS,Clear,2011-06-01,2011-06-16,15,detail
2,tujie,F1,New,ShenYang,Chemical Engineering,Clear,2011-06-01,2011-07-11,40,detail
3,wuyangjack,B1,New,ShenYang,Information Security,Clear,2011-06-01,2011-07-28,57,detail
4,furness,F1,New,BeiJing,CS,Clear,2011-06-01,2011-06-24,23,detail
5,manshen,F1,New,BeiJing,Mathematics,Clear,2011-06-01,2011-06-15,14,detail
6,lingzi,F1,Renewal,GuangZhou,MSE,Clear,2011-06-01,2011-06-21,20,detail
7,Mr He,F1,Renewal,ShangHai,Chemical Engeering,Clear,2011-06-01,2011-06-27,26,detail
8,zfl050122,F1,New,ShenYang,Mathematics,Clear,2011-06-01,2011-07-12,41,detail
9,qjd__qjd,F1,Renewal,ShangHai,biology,Clear,2011-06-01,2011-07-28,57,detail
10,yang_ren,J1,New,BeiJing,bioinformatics&chemistry,Clear,2011-06-02,2011-06-16,14,detail
11,hailid,F1,New,ShangHai,CS,Clear,2011-06-02,2011-07-06,34,detail
12,zgkdzq,F1,New,ShangHai,ME,Pending,2011-06-02,0000-00-00,2813,detail
13,red,H1,New,ShangHai,physical chemistry,Pending,2011-06-02,0000-00-00,2813,detail
14,geogria,F1,New,ShangHai,Statistics,Clear,2011-06-02,2011-06-28,26,detail
15,particle,F1,New,ShangHai,physics,Clear,2011-06-02,2011-06-29,27,detail
16,checkreporter,H1,New,GuangZhou,biomedical science,Clear,2011-06-02,2011-06-21,19,detail
17,owenloveme,F1,Renewal,ShenYang,Chemistry,Clear,2011-06-02,2011-07-03,31,detail
18,newdelhi,J1,New,NewDelhi,Toxicology,Clear,2011-06-02,2011-06-30,28,detail
19,zhanglang,J1,Renewal,ShangHai,AS & T,Clear,2011-06-02,2011-08-01,60,detail
