,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,fjoecia,H1,New,BeiJing,EE,Clear,2014-12-01,2014-12-18,17,detail
1,realnju,B1,New,ShangHai,Physics,Clear,2014-12-01,2015-01-27,57,detail
2,yan1982,H1,New,BeiJing,Veterinary Medicine,Clear,2014-12-01,2014-12-24,23,detail
3,coffeeBean,H1,New,BeiJing,EE,Clear,2014-12-01,2015-01-05,35,detail
4,rp,H1,New,ShangHai,BCH,Clear,2014-12-01,2014-12-22,21,detail
5,bj_checkee,H1,New,BeiJing,CS,Clear,2014-12-01,2014-12-29,28,detail
6,ls,H1,New,ShangHai,ECE,Clear,2014-12-01,2014-12-22,21,detail
7,Zhengzhong,B2,Renewal,GuangZhou,Non,Pending,2014-12-01,0000-00-00,1535,detail
8,gongzh,H1,Renewal,BeiJing,EE,Clear,2014-12-01,2014-12-18,17,detail
9,margaret,H1,Renewal,BeiJing,Biology,Clear,2014-12-01,2014-12-22,21,detail
10,gss,H1,New,ShenYang,Mechanical Engineering,Clear,2014-12-01,2015-01-26,56,detail
11,AAA,F1,Renewal,BeiJing,Chemical Engineering,Clear,2014-12-01,2014-12-09,8,detail
12,damienyf,H1,New,BeiJing,Operations Research,Pending,2014-12-01,0000-00-00,1535,detail
13,ANAN,J1,New,BeiJing,Cancer Research,Clear,2014-12-01,2015-01-02,32,detail
14,hychin,H1,New,BeiJing,CS,Clear,2014-12-01,2014-12-22,21,detail
15,sibasish,H1,Renewal,Kolkata,Materials Science & Engin,Pending,2014-12-01,0000-00-00,1535,detail
16,LS2014H1B,H1,New,GuangZhou,Physics,Clear,2014-12-01,2014-12-19,18,detail
17,blueberry,F1,Renewal,ShangHai,Finance,Clear,2014-12-02,2015-06-09,189,detail
18,252/599-1,J1,Renewal,BeiJing,N/A,Pending,2014-12-02,0000-00-00,1534,detail
19,leightonbuaa,L1,New,BeiJing,CS,Clear,2014-12-02,2015-01-02,31,detail
20,dagege,F1,Renewal,ShangHai,Physics,Clear,2014-12-02,2014-12-30,28,detail
21,poppy,F1,Renewal,GuangZhou,Geography,Clear,2014-12-02,2014-12-30,28,detail
22,zsj,F1,New,BeiJing,EE,Clear,2014-12-02,2015-01-08,37,detail
23,xl-vt,J1,Renewal,BeiJing,particle physics,Pending,2014-12-02,0000-00-00,1534,detail
24,AA004KICCY,H1,New,Others,Materials science,Clear,2014-12-02,2014-12-24,22,detail
25,hellen87,F1,New,BeiJing,Biophysics,Pending,2014-12-02,0000-00-00,1534,detail
26,zsj,F1,New,BeiJing,EE,Clear,2014-12-02,2015-01-08,37,detail
27,lll,H1,Renewal,ShangHai,chemistry,Pending,2014-12-02,0000-00-00,1534,detail
28,Nicely,F1,New,BeiJing,Language Program,Clear,2014-12-02,2014-12-08,6,detail
29,yond,H1,Renewal,ShangHai,EE,Clear,2014-12-02,2014-12-22,20,detail
30,AA141202,H1,New,ShangHai,ChE,Clear,2014-12-02,2014-12-23,21,detail
31,hly,F1,Renewal,BeiJing,neurobiology,Pending,2014-12-02,0000-00-00,1534,detail
32,x31bc0,L1,New,BeiJing,computer science,Clear,2014-12-02,2015-01-07,36,detail
33,HanBeijing,H1,New,BeiJing,Mechanical Engineering,Clear,2014-12-02,2014-12-18,16,detail
34,guoguoguo,F1,New,ShenYang,pharmaceutical engineerin,Clear,2014-12-02,2014-12-18,16,detail
