,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,Â¥Â¥12æœˆçš„è¯·,H1,Renewal,BeiJing,ï¿½ï¿½è¯·çœ‹detailåŠ å¾®ï,Pending,2018-12-01,0000-00-00,90,detail
1,joan,H1,New,ShangHai,EECS,Pending,2018-12-03,0000-00-00,88,detail
2,Amen,B1,New,GuangZhou,CS,Clear,2018-12-03,2018-12-31,28,detail
3,bsnow,H1,Renewal,ChengDu,EE,Clear,2018-12-03,2018-12-21,18,detail
4,zql20050725,B2,Renewal,BeiJing,Structural Biology,Clear,2018-12-03,2019-01-11,39,detail
5,summer,H1,New,ShenYang,Marketing,Clear,2018-12-03,2018-12-06,3,detail
6,douglascm,H1,New,BeiJing,Computer Science,Clear,2018-12-03,2018-12-28,25,detail
7,checking,H1,New,BeiJing,CS,Clear,2018-12-03,2019-01-03,31,detail
8,iris,H1,Renewal,BeiJing,Statistics,Clear,2018-12-03,2018-12-28,25,detail
9,J1VISA,J1,New,BeiJing,MSE,Clear,2018-12-03,2018-12-28,25,detail
10,minamotoni,H1,Renewal,BeiJing,CS,Clear,2018-12-03,2019-01-22,50,detail
11,taylor,H1,New,ShangHai,EE/CS,Clear,2018-12-03,2018-12-14,11,detail
12,hhh555,H1,New,BeiJing,EE,Clear,2018-12-03,2018-12-31,28,detail
13,ç�ƒç�ƒåœ¨å¼€å­¦,F1,New,GuangZhou,mis,Clear,2018-12-03,2018-12-27,24,detail
14,cxyspirit,J1,New,ShangHai,CS,Clear,2018-12-03,2018-12-26,23,detail
15,yvonneyuyi11,H1,New,BeiJing,IE,Clear,2018-12-03,2018-12-12,9,detail
16,Helen,F1,New,ShangHai,Analytics,Clear,2018-12-03,2018-12-14,11,detail
17,Nancyz51888,H1,New,ShangHai,MIS,Pending,2018-12-03,0000-00-00,88,detail
18,Aquileolus,H1,New,ShenYang,Computer Engineering,Clear,2018-12-03,2019-01-03,31,detail
19,annnheee,H1,Renewal,BeiJing,FInancial Engineering,Pending,2018-12-03,0000-00-00,88,detail
20,ä¸€å…¥ç”Ÿç‰©æ·±,F1,Renewal,BeiJing,Biology,Clear,2018-12-03,2019-01-11,39,detail
21,Dazo,J1,New,ChengDu,public  health,Clear,2018-12-03,2019-01-10,38,detail
22,Hyz,B2,New,BeiJing,Clinical Medicine,Clear,2018-12-03,2019-01-25,53,detail
23,lo7ve77,J1,New,ShangHai,Botany,Clear,2018-12-03,2018-12-26,23,detail
24,Kathy,B1,New,ShangHai,Statistics,Clear,2018-12-03,2019-01-08,36,detail
25,J1renewal,J1,Renewal,BeiJing,Bioinfo,Pending,2018-12-03,0000-00-00,88,detail
26,tjharvest,J1,New,BeiJing,Marketing,Pending,2018-12-03,0000-00-00,88,detail
27,frankcheckee,H1,New,ShangHai,EE,Clear,2018-12-03,2018-12-10,7,detail
28,Ju,J1,New,ShangHai,FE,Clear,2018-12-03,2019-01-08,36,detail
29,AAAI,B1,Renewal,BeiJing,EE,Clear,2018-12-03,2019-01-08,36,detail
