,ID,Visa Type,Visa Entry,US Consulate,Major,Status,Check Date,Complete Date,Waiting Day(s),Details
0,qxtony,B1,New,Others,Material Science,Clear,2017-05-01,2017-05-30,29,detail
1,125006689@qq.co,B2,New,BeiJing,N/A,Clear,2017-05-01,2017-05-17,16,detail
2,JX,F1,Renewal,ShangHai,Pharmaceutics,Clear,2017-05-02,2017-05-22,20,detail
3,suisuisuizi,J1,New,Europe,Environmental engineering,Clear,2017-05-02,2017-05-22,20,detail
4,dxofate,F1,New,GuangZhou,Nuclear Engineering,Clear,2017-05-02,2017-05-20,18,detail
5,bj20170502,L2,New,BeiJing,cs,Clear,2017-05-02,2017-06-02,31,detail
6,dotweiba,F1,New,BeiJing,Computer Science,Clear,2017-05-02,2017-05-26,24,detail
7,wl,F1,Renewal,ShangHai,Chemistry,Clear,2017-05-02,2017-05-24,22,detail
8,@-@!!!,B2,New,ChengDu,EE,Clear,2017-05-02,2017-06-07,36,detail
9,cyw_ustc,F1,Renewal,BeiJing,Mechanical Engineering,Pending,2017-05-02,0000-00-00,652,detail
10,aa006syhgk,F1,Renewal,BeiJing,mechanical,Clear,2017-05-02,2017-06-16,45,detail
11,TJQD,B1,New,BeiJing,Chemical Engineering,Clear,2017-05-02,2017-06-16,45,detail
12,ssQ-Q,H1,Renewal,ShangHai,Cancer,Clear,2017-05-02,2017-05-25,23,detail
13,zhishijiushilil,J1,New,BeiJing,ME,Clear,2017-05-02,2017-05-23,21,detail
14,snail007,J1,New,ShenYang,immunology,Clear,2017-05-02,2017-05-19,17,detail
15,TQQQ,B2,New,BeiJing,Photonics,Clear,2017-05-02,2017-05-26,24,detail
16,carrollyon,L1,New,BeiJing,N/A,Pending,2017-05-02,0000-00-00,652,detail
17,MDR18,F1,Renewal,ShangHai,MSE,Clear,2017-05-02,2017-05-24,22,detail
18,dxofate,F1,New,GuangZhou,Nuclear Engineering,Clear,2017-05-02,2017-05-20,18,detail
19,springy,B2,New,ShangHai,ME,Clear,2017-05-02,2017-06-08,37,detail
20,visa,B2,New,ShenYang,ME,Clear,2017-05-02,2017-05-22,20,detail
21,shawn,F1,Renewal,BeiJing,computer science,Clear,2017-05-02,2017-05-25,23,detail
22,Donna,F1,New,BeiJing,N/A,Clear,2017-05-02,2017-07-05,64,detail
23,Sinchy,F1,New,BeiJing,ME,Clear,2017-05-02,2017-05-25,23,detail
24,fukisake,B1,New,BeiJing,Geology,Clear,2017-05-02,2017-05-25,23,detail
25,sert,B2,New,BeiJing,Mechanical Engineering,Clear,2017-05-02,2017-05-16,14,detail
26,CheckAgain,H1,New,BeiJing,EE,Clear,2017-05-02,2017-06-15,44,detail
27,iiiiiimax,B1,New,ShangHai,Biology,Pending,2017-05-02,0000-00-00,652,detail
28,michael,J1,Renewal,GuangZhou,molecular biology,Clear,2017-05-02,2017-06-15,44,detail
29,cgl,B1,New,Others,medical science,Clear,2017-05-02,2017-07-25,84,detail
30,Evilnurse,F1,New,ShangHai,Industrial Engineering,Clear,2017-05-02,2017-06-29,58,detail
31,pijitaili,B1,New,ShangHai,electrochemitry,Clear,2017-05-02,2017-07-21,80,detail
32,PepplePig,B2,New,ChengDu,Copmuter Sicence,Clear,2017-05-02,2017-06-21,50,detail
33,orgchemist,F1,New,ShangHai,Chemistry,Clear,2017-05-02,2017-06-16,45,detail
34,zd,F1,New,GuangZhou,CS,Clear,2017-05-02,2017-06-15,44,detail
35,Donna,F1,New,BeiJing,N/A,Clear,2017-05-02,2017-07-05,64,detail
36,baixinmath,F1,New,ShangHai,Computational Biology,Clear,2017-05-03,2017-05-19,16,detail
37,lalala,B2,New,ShangHai,communication engineering,Pending,2017-05-03,0000-00-00,651,detail
38,zzzsjx,F1,New,GuangZhou,Physics,Clear,2017-05-03,2017-05-25,22,detail
39,sunnyszy,F1,New,ShangHai,Computer Science,Clear,2017-05-03,2017-05-24,21,detail
40,chen,J1,New,ShangHai,Accounting,Pending,2017-05-03,0000-00-00,651,detail
41,AlfredC,F1,New,BeiJing,Aerospace and Astronautic,Clear,2017-05-03,2017-07-05,63,detail
42,shxshx133,F1,New,GuangZhou,Nuclear Engineering,Clear,2017-05-03,2017-06-15,43,detail
43,771,F1,New,ShangHai,Mechanical Engineering,Clear,2017-05-03,2017-06-16,44,detail
44,gggcheck,F1,New,ShangHai,ee,Clear,2017-05-03,2017-06-01,29,detail
45,lqm229026,B2,New,GuangZhou,EE,Pending,2017-05-03,0000-00-00,651,detail
